signal_id,symbol,entry_time_utc,topix_chg_pct_raw,topix_chg_pct,market_state,blocked_reason,entry_allowed,exit_time_utc,entry_price,exit_price,profit_pct,pnl_yen_100_shares,exit_reason,position_closed,excluded_from_eval,excluded_reason
20260509_064107_run07_00001,6315.T,2026-04-10T00:11:00+00:00,-0.3008981259237345,-0.3008981259237345,WEAK,,True,2026-04-10T00:35:00+00:00,2685.6829999999995,2738.0,1.9479960963375227,5267.381444496662,RECENT_5M_LOW_BREAK_EARLY,True,False,
20260509_064107_run07_00002,5803.T,2026-04-10T00:38:00+00:00,-0.47642777197644487,-0.47642777197644487,WEAK,,True,2026-04-10T00:42:00+00:00,5525.5199999999995,5474.0,-0.9324009324009239,-5159.906759906713,RECENT_5M_LOW_BREAK_EARLY,True,False,
20260509_064107_run07_00003,6315.T,2026-04-10T00:58:00+00:00,-0.5265736334544905,-0.5265736334544905,WEAK,,True,2026-04-10T01:13:00+00:00,2748.7459999999996,2760.0,0.4094230605519885,1127.1416856996243,RECENT_5M_LOW_BREAK_EARLY,True,False,
20260509_064107_run07_00004,6315.T,2026-04-10T01:05:00+00:00,-0.45135101506151193,-0.45135101506151193,WEAK,,True,2026-04-10T01:13:00+00:00,2764.7619999999997,2760.0,-0.17223905710508597,-476.2409928955627,RECENT_5M_LOW_BREAK_EARLY,True,False,
20260509_064107_run07_00005,5803.T,2026-04-10T01:10:00+00:00,-0.42627425814657893,-0.42627425814657893,WEAK,,True,2026-04-10T01:49:00+00:00,5542.536999999999,5559.0,0.29703004237952135,1648.813765248723,RECENT_5M_LOW_BREAK_EARLY,True,False,
20260509_064107_run07_00006,6315.T,2026-04-10T01:34:00+00:00,-0.2507522644456889,-0.2507522644456889,NORMAL,,True,2026-04-10T01:53:00+00:00,2752.7499999999995,2739.0,-0.49950049950048303,-1375.1248751248297,RECENT_5M_LOW_BREAK_EARLY,True,False,
20260509_064107_run07_00007,5803.T,2026-04-10T01:55:00+00:00,-0.3761283966685333,-0.3761283966685333,NORMAL,,True,2026-04-10T02:04:00+00:00,5577.571999999999,5574.0,-0.06404220330995651,-357.867832096037,RECENT_5M_LOW_BREAK_EARLY,True,False,
20260509_064107_run07_00008,5803.T,2026-04-10T02:10:00+00:00,-0.5265736334544905,-0.5265736334544905,WEAK,,True,2026-04-10T02:13:00+00:00,5608.602999999999,5588.0,-0.367346378411864,-2063.3846075394404,RECENT_5M_LOW_BREAK_EARLY,True,False,
20260509_064107_run07_00009,5803.T,2026-04-10T02:23:00+00:00,-0.5516503903694234,-0.5516503903694234,WEAK,,True,2026-04-10T03:30:00+00:00,5586.580999999999,5565.0,-0.38630067298763276,-2159.0344613278794,RECENT_5M_LOW_BREAK_EARLY,True,False,
20260509_064107_run07_00010,6857.T,2026-04-14T00:11:00+00:00,0.580072583346469,0.580072583346469,NORMAL,,True,2026-04-14T00:42:00+00:00,26401.374999999996,26825.0,1.6045565808599123,42536.79495859628,RECENT_5M_LOW_BREAK_EARLY,True,False,
20260509_064107_run07_00011,6920.T,2026-04-14T00:12:00+00:00,0.5296358394743064,0.5296358394743064,NORMAL,,True,2026-04-14T01:11:00+00:00,42162.119999999995,43250.0,2.5802307853590016,109014.7506814178,RECENT_5M_LOW_BREAK_EARLY,True,False,
