trade_date,symbol,skip_reason,csv_path
2026-05-10,6315.T,missing_intraday_csv,C:\Users\yhach\Documents\tradebotfile\kabu_native\data\intraday_1m\2026-05-10\6315.T.csv
2026-05-10,6501.T,missing_intraday_csv,C:\Users\yhach\Documents\tradebotfile\kabu_native\data\intraday_1m\2026-05-10\6501.T.csv
2026-05-10,6526.T,missing_intraday_csv,C:\Users\yhach\Documents\tradebotfile\kabu_native\data\intraday_1m\2026-05-10\6526.T.csv
2026-05-10,6857.T,missing_intraday_csv,C:\Users\yhach\Documents\tradebotfile\kabu_native\data\intraday_1m\2026-05-10\6857.T.csv
2026-05-10,6890.T,missing_intraday_csv,C:\Users\yhach\Documents\tradebotfile\kabu_native\data\intraday_1m\2026-05-10\6890.T.csv
2026-05-10,6920.T,missing_intraday_csv,C:\Users\yhach\Documents\tradebotfile\kabu_native\data\intraday_1m\2026-05-10\6920.T.csv
2026-05-10,7003.T,missing_intraday_csv,C:\Users\yhach\Documents\tradebotfile\kabu_native\data\intraday_1m\2026-05-10\7003.T.csv
2026-05-10,7011.T,missing_intraday_csv,C:\Users\yhach\Documents\tradebotfile\kabu_native\data\intraday_1m\2026-05-10\7011.T.csv
2026-05-10,7012.T,missing_intraday_csv,C:\Users\yhach\Documents\tradebotfile\kabu_native\data\intraday_1m\2026-05-10\7012.T.csv
2026-05-10,7013.T,missing_intraday_csv,C:\Users\yhach\Documents\tradebotfile\kabu_native\data\intraday_1m\2026-05-10\7013.T.csv
2026-05-10,7203.T,missing_intraday_csv,C:\Users\yhach\Documents\tradebotfile\kabu_native\data\intraday_1m\2026-05-10\7203.T.csv
2026-05-10,7974.T,missing_intraday_csv,C:\Users\yhach\Documents\tradebotfile\kabu_native\data\intraday_1m\2026-05-10\7974.T.csv
2026-05-10,8001.T,missing_intraday_csv,C:\Users\yhach\Documents\tradebotfile\kabu_native\data\intraday_1m\2026-05-10\8001.T.csv
2026-05-10,8002.T,missing_intraday_csv,C:\Users\yhach\Documents\tradebotfile\kabu_native\data\intraday_1m\2026-05-10\8002.T.csv
2026-05-10,8031.T,missing_intraday_csv,C:\Users\yhach\Documents\tradebotfile\kabu_native\data\intraday_1m\2026-05-10\8031.T.csv
2026-05-10,8058.T,missing_intraday_csv,C:\Users\yhach\Documents\tradebotfile\kabu_native\data\intraday_1m\2026-05-10\8058.T.csv
2026-05-10,8136.T,missing_intraday_csv,C:\Users\yhach\Documents\tradebotfile\kabu_native\data\intraday_1m\2026-05-10\8136.T.csv
2026-05-10,8306.T,missing_intraday_csv,C:\Users\yhach\Documents\tradebotfile\kabu_native\data\intraday_1m\2026-05-10\8306.T.csv
2026-05-10,8473.T,missing_intraday_csv,C:\Users\yhach\Documents\tradebotfile\kabu_native\data\intraday_1m\2026-05-10\8473.T.csv
2026-05-10,9412.T,missing_intraday_csv,C:\Users\yhach\Documents\tradebotfile\kabu_native\data\intraday_1m\2026-05-10\9412.T.csv
2026-05-10,9432.T,missing_intraday_csv,C:\Users\yhach\Documents\tradebotfile\kabu_native\data\intraday_1m\2026-05-10\9432.T.csv
2026-05-10,9434.T,missing_intraday_csv,C:\Users\yhach\Documents\tradebotfile\kabu_native\data\intraday_1m\2026-05-10\9434.T.csv
2026-05-10,9984.T,missing_intraday_csv,C:\Users\yhach\Documents\tradebotfile\kabu_native\data\intraday_1m\2026-05-10\9984.T.csv
2026-05-11,1306.T,missing_intraday_csv,C:\Users\yhach\Documents\tradebotfile\kabu_native\data\intraday_1m\2026-05-11\1306.T.csv
2026-05-11,1321.T,missing_intraday_csv,C:\Users\yhach\Documents\tradebotfile\kabu_native\data\intraday_1m\2026-05-11\1321.T.csv
2026-05-11,5016.T,missing_intraday_csv,C:\Users\yhach\Documents\tradebotfile\kabu_native\data\intraday_1m\2026-05-11\5016.T.csv
2026-05-11,5803.T,missing_intraday_csv,C:\Users\yhach\Documents\tradebotfile\kabu_native\data\intraday_1m\2026-05-11\5803.T.csv
2026-05-11,6315.T,missing_intraday_csv,C:\Users\yhach\Documents\tradebotfile\kabu_native\data\intraday_1m\2026-05-11\6315.T.csv
2026-05-11,6501.T,missing_intraday_csv,C:\Users\yhach\Documents\tradebotfile\kabu_native\data\intraday_1m\2026-05-11\6501.T.csv
2026-05-11,6526.T,missing_intraday_csv,C:\Users\yhach\Documents\tradebotfile\kabu_native\data\intraday_1m\2026-05-11\6526.T.csv
2026-05-11,6857.T,missing_intraday_csv,C:\Users\yhach\Documents\tradebotfile\kabu_native\data\intraday_1m\2026-05-11\6857.T.csv
2026-05-11,6890.T,missing_intraday_csv,C:\Users\yhach\Documents\tradebotfile\kabu_native\data\intraday_1m\2026-05-11\6890.T.csv
2026-05-11,6920.T,missing_intraday_csv,C:\Users\yhach\Documents\tradebotfile\kabu_native\data\intraday_1m\2026-05-11\6920.T.csv
2026-05-11,7003.T,missing_intraday_csv,C:\Users\yhach\Documents\tradebotfile\kabu_native\data\intraday_1m\2026-05-11\7003.T.csv
2026-05-11,7011.T,missing_intraday_csv,C:\Users\yhach\Documents\tradebotfile\kabu_native\data\intraday_1m\2026-05-11\7011.T.csv
2026-05-11,7012.T,missing_intraday_csv,C:\Users\yhach\Documents\tradebotfile\kabu_native\data\intraday_1m\2026-05-11\7012.T.csv
2026-05-11,7013.T,missing_intraday_csv,C:\Users\yhach\Documents\tradebotfile\kabu_native\data\intraday_1m\2026-05-11\7013.T.csv
2026-05-11,7203.T,missing_intraday_csv,C:\Users\yhach\Documents\tradebotfile\kabu_native\data\intraday_1m\2026-05-11\7203.T.csv
2026-05-11,7974.T,missing_intraday_csv,C:\Users\yhach\Documents\tradebotfile\kabu_native\data\intraday_1m\2026-05-11\7974.T.csv
2026-05-11,8001.T,missing_intraday_csv,C:\Users\yhach\Documents\tradebotfile\kabu_native\data\intraday_1m\2026-05-11\8001.T.csv
2026-05-11,8002.T,missing_intraday_csv,C:\Users\yhach\Documents\tradebotfile\kabu_native\data\intraday_1m\2026-05-11\8002.T.csv
2026-05-11,8031.T,missing_intraday_csv,C:\Users\yhach\Documents\tradebotfile\kabu_native\data\intraday_1m\2026-05-11\8031.T.csv
2026-05-11,8058.T,missing_intraday_csv,C:\Users\yhach\Documents\tradebotfile\kabu_native\data\intraday_1m\2026-05-11\8058.T.csv
2026-05-11,8136.T,missing_intraday_csv,C:\Users\yhach\Documents\tradebotfile\kabu_native\data\intraday_1m\2026-05-11\8136.T.csv
2026-05-11,8306.T,missing_intraday_csv,C:\Users\yhach\Documents\tradebotfile\kabu_native\data\intraday_1m\2026-05-11\8306.T.csv
2026-05-11,8473.T,missing_intraday_csv,C:\Users\yhach\Documents\tradebotfile\kabu_native\data\intraday_1m\2026-05-11\8473.T.csv
2026-05-11,9412.T,missing_intraday_csv,C:\Users\yhach\Documents\tradebotfile\kabu_native\data\intraday_1m\2026-05-11\9412.T.csv
2026-05-11,9432.T,missing_intraday_csv,C:\Users\yhach\Documents\tradebotfile\kabu_native\data\intraday_1m\2026-05-11\9432.T.csv
2026-05-11,9434.T,missing_intraday_csv,C:\Users\yhach\Documents\tradebotfile\kabu_native\data\intraday_1m\2026-05-11\9434.T.csv
2026-05-11,9984.T,missing_intraday_csv,C:\Users\yhach\Documents\tradebotfile\kabu_native\data\intraday_1m\2026-05-11\9984.T.csv
